x,y,z
-1.49880,-0.61567,2.25121
-1.49945,-0.58101,2.25200
-1.46800,-0.61164,2.25325
-1.49834,-0.62716,2.25059
-1.46873,-0.63522,2.25439
-1.47032,-0.62427,2.25663
-1.46656,-0.64591,2.25131
-1.47031,-0.53188,2.25629
-1.49867,-0.56911,2.25085
-1.46756,-0.55378,2.25243
-1.46895,-0.54284,2.25437
-1.42602,-0.52546,2.25060
-1.42731,-0.51463,2.25247
-1.39792,-0.50002,2.25292
-1.39668,-0.51077,2.25110
-1.26939,-0.51852,2.25317
-1.26819,-0.52897,2.25122
-1.26798,-0.53985,2.25091
-1.26797,-0.56186,2.25099
-1.42659,-0.60548,2.25173
-1.39659,-0.60122,2.25129
-1.39947,-0.57969,2.25556
-1.39804,-0.59046,2.25344
-1.29901,-0.61092,2.25375
-1.26752,-0.59484,2.25036
-1.29758,-0.62144,2.25147
-1.27025,-0.61845,2.25499
-1.26883,-0.62891,2.25267
-1.26738,-0.63936,2.25031
-1.23892,-0.59122,2.25091
-1.20399,-0.58688,2.25154
-1.20651,-0.56625,2.25589
-1.20526,-0.57657,2.25373
-1.17721,-0.54065,2.25383
-1.17745,-0.55158,2.25432
-1.17720,-0.56230,2.25390
-1.17598,-0.57254,2.25175
-1.23933,-0.53655,2.25139
-1.23904,-0.52552,2.25086
-1.23873,-0.51450,2.25027
-1.17681,-0.50816,2.25298
-1.14113,-0.50393,2.25083
-1.66526,-0.82446,2.14330
-1.66635,-0.81275,2.14456
-1.65932,-0.84600,2.13628
-1.66292,-0.83555,2.14054
-1.86516,-0.68264,2.23637
-1.86715,-0.67065,2.23855
-1.82679,-0.66354,2.23599
-1.86261,-0.65632,2.23345
-1.82484,-0.67541,2.23381
-1.82414,-0.68775,2.23305
-1.85601,-0.69192,2.22621
-1.82084,-0.69909,2.22934
-1.84929,-0.71473,2.21879
-1.85331,-0.70359,2.22324
-1.74864,-0.71421,2.24240
-1.75251,-0.70330,2.24698
-1.74413,-0.72482,2.23705
-1.77257,-0.70279,2.22688
-1.81177,-0.70812,2.21905
-1.77054,-0.71447,2.22454
-1.73649,-0.73404,2.22797
-1.77972,-0.66817,2.23512
-1.75397,-0.66648,2.24860
-1.75448,-0.69160,2.24929
-1.75455,-0.67916,2.24934
-1.77653,-0.67940,2.23143
-1.77583,-0.69160,2.23064
-1.67555,-0.67662,2.24002
-1.67669,-0.68934,2.24148
-1.67619,-0.66468,2.24077
-1.63739,-0.65756,2.23625
-1.63853,-0.68223,2.23778
-1.63785,-0.69408,2.23695
-1.70381,-0.67962,2.23149
-1.69576,-0.68857,2.22171
-1.69954,-0.66566,2.22625
-1.63558,-0.66888,2.23399
-1.67478,-0.70079,2.23913
-1.63594,-0.70540,2.23456
